"","plot_name","treatment","natives","non_natives","number_focal_sp","cover_focal_sp","forbs","graminoids","legumes","bare_ground","non_focal_inv1","non_focal_inv2","background_management","site_type","year","species","site_name","datum","municipality","longitude","latitude","northing","easting","elevation","plotID","elevation_rescaled","natives_percentage","non_natives_percentage","cover_focal_sp_percentage","forbs_percentage","graminoids_percentage","legumes_percentage","bare_ground_percentage","non_focal_inv1_percentage","non_focal_inv2_percentage","natives_prop","non_natives_prop","cover_focal_sp_prop","forbs_prop","graminoids_prop","legumes_prop","bare_ground_prop","non_focal_inv1_prop","non_focal_inv2_prop","natives_prop_rescaled","non_natives_prop_rescaled","cover_focal_sp_prop_rescaled","forbs_prop_rescaled","graminoids_prop_rescaled","legumes_prop_rescaled","bare_ground_prop_rescaled","non_focal_inv1_prop_rescaled","non_focal_inv2_prop_rescaled"
"26","C2","control",8,3,4,3,7,6,3,2,0,NA,"no","roadside",2021,"solidago","S 2.3","09.06.2021 00:00","Cazis",9.4253584,46.747648,2751706.014,1179161.245,694.8962402,"S 2.3_C2",0.0974618615353415,87.5,3,3,62.5,37.5,3,0.55,0,NA,0.875,0.03,0.03,0.625,0.375,0.03,0.0055,0,NA,0.999,0.0352171428571429,0.0352171428571429,0.712053479010926,0.428714285714286,0.0352171428571429,0.00727314285714286,0.001,NA
"27","R3","removal",8,5,11,5,6,7,5,2,2,NA,"no","roadside",2021,"solidago","S 2.3","09.06.2021 00:00","Cazis",9.4253584,46.747648,2751706.014,1179161.245,694.8962402,"S 2.3_R3",0.0974618615353415,87.5,17.5,17.5,37.5,62.5,17.5,0.55,0.55,NA,0.875,0.175,0.175,0.375,0.625,0.175,0.0055,0.0055,NA,0.999,0.2006,0.2006,0.425106958021852,0.713857142857143,0.2006,0.00727314285714286,0.0156373333333333,NA
"28","C3","control",8,4,7,4,5,7,3,3,1,NA,"no","roadside",2021,"solidago","S 2.3","09.06.2021 00:00","Cazis",9.4253584,46.747648,2751706.014,1179161.245,694.8962402,"S 2.3_C3",0.0974618615353415,87.5,7.5,7.5,17.5,62.5,3,3,0.05,NA,0.875,0.075,0.075,0.175,0.625,0.03,0.03,5e-04,NA,0.999,0.0865428571428571,0.0865428571428571,0.195549741230592,0.713857142857143,0.0352171428571429,0.0352171428571429,0.00233066666666667,NA
"29","R4","removal",7,6,27,6,5,4,7,2,2,NA,"no","roadside",2021,"solidago","S 2.3","09.06.2021 00:00","Cazis",9.4253584,46.747648,2751706.014,1179161.245,694.8962402,"S 2.3_R4",0.0974618615353415,62.5,37.5,37.5,17.5,7.5,62.5,0.55,0.55,NA,0.625,0.375,0.375,0.175,0.075,0.625,0.0055,0.0055,NA,0.703733727810651,0.428714285714286,0.428714285714286,0.195549741230592,0.0865428571428571,0.713857142857143,0.00727314285714286,0.0156373333333333,NA
"30","C4","control",7,7,33,7,6,5,6,2,2,NA,"no","roadside",2021,"solidago","S 2.3","09.06.2021 00:00","Cazis",9.4253584,46.747648,2751706.014,1179161.245,694.8962402,"S 2.3_C4",0.0974618615353415,62.5,62.5,62.5,37.5,17.5,37.5,0.55,0.55,NA,0.625,0.625,0.625,0.375,0.175,0.375,0.0055,0.0055,NA,0.703733727810651,0.713857142857143,0.713857142857143,0.425106958021852,0.2006,0.428714285714286,0.00727314285714286,0.0156373333333333,NA
"31","R1","removal",7,6,27,6,6,6,3,3,3,0,"no","roadside_riverside",2021,"solidago","S 1.3","10.06.2021 00:00","Untervaz",9.5535824,46.914814,2760998.651,1197991.975,538.3652954,"S 1.3_R1",0.001,62.5,37.5,37.5,37.5,37.5,3,3,3,0,0.625,0.375,0.375,0.375,0.375,0.03,0.03,0.03,0,0.703733727810651,0.428714285714286,0.428714285714286,0.425106958021852,0.428714285714286,0.0352171428571429,0.0352171428571429,0.08084,0.001
"32","C1","control",8,4,19,4,6,7,6,0,0,0,"no","roadside_riverside",2021,"solidago","S 1.3","10.06.2021 00:00","Untervaz",9.5535824,46.914814,2760998.651,1197991.975,538.3652954,"S 1.3_C1",0.001,87.5,7.5,7.5,37.5,62.5,37.5,0,0,0,0.875,0.075,0.075,0.375,0.625,0.375,0,0,0,0.999,0.0865428571428571,0.0865428571428571,0.425106958021852,0.713857142857143,0.428714285714286,0.001,0.001,0.001
"33","R2","removal",6,8,72,8,6,3,5,2,0,0,"no","roadside_riverside",2021,"solidago","S 1.3","10.06.2021 00:00","Untervaz",9.5535824,46.914814,2760998.651,1197991.975,538.3652954,"S 1.3_R2",0.001,37.5,87.5,87.5,37.5,3,17.5,0.55,0,0,0.375,0.875,0.875,0.375,0.03,0.175,0.0055,0,0,0.408467455621302,0.999,0.999,0.425106958021852,0.0352171428571429,0.2006,0.00727314285714286,0.001,0.001
"34","C2","control",8,4,9,4,6,7,3,2,0,0,"no","roadside_riverside",2021,"solidago","S 1.3","10.06.2021 00:00","Untervaz",9.5535824,46.914814,2760998.651,1197991.975,538.3652954,"S 1.3_C2",0.001,87.5,7.5,7.5,37.5,62.5,3,0.55,0,0,0.875,0.075,0.075,0.375,0.625,0.03,0.0055,0,0,0.999,0.0865428571428571,0.0865428571428571,0.425106958021852,0.713857142857143,0.0352171428571429,0.00727314285714286,0.001,0.001
"35","R3","removal",8,5,36,5,6,7,3,3,0,0,"no","roadside_riverside",2021,"solidago","S 1.3","10.06.2021 00:00","Untervaz",9.5535824,46.914814,2760998.651,1197991.975,538.3652954,"S 1.3_R3",0.001,87.5,17.5,17.5,37.5,62.5,3,3,0,0,0.875,0.175,0.175,0.375,0.625,0.03,0.03,0,0,0.999,0.2006,0.2006,0.425106958021852,0.713857142857143,0.0352171428571429,0.0352171428571429,0.001,0.001
"36","C3","control",8,6,31,6,7,3,5,3,0,0,"no","roadside_riverside",2021,"solidago","S 1.3","10.06.2021 00:00","Untervaz",9.5535824,46.914814,2760998.651,1197991.975,538.3652954,"S 1.3_C3",0.001,87.5,37.5,37.5,62.5,3,17.5,3,0,0,0.875,0.375,0.375,0.625,0.03,0.175,0.03,0,0,0.999,0.428714285714286,0.428714285714286,0.712053479010926,0.0352171428571429,0.2006,0.0352171428571429,0.001,0.001
"37","R4","removal",8,6,21,6,7,5,4,2,0,0,"no","roadside_riverside",2021,"solidago","S 1.3","10.06.2021 00:00","Untervaz",9.5535824,46.914814,2760998.651,1197991.975,538.3652954,"S 1.3_R4",0.001,87.5,37.5,37.5,62.5,17.5,7.5,0.55,0,0,0.875,0.375,0.375,0.625,0.175,0.075,0.0055,0,0,0.999,0.428714285714286,0.428714285714286,0.712053479010926,0.2006,0.0865428571428571,0.00727314285714286,0.001,0.001
"38","C4","control",7,7,44,7,6,6,3,2,0,0,"no","roadside_riverside",2021,"solidago","S 1.3","10.06.2021 00:00","Untervaz",9.5535824,46.914814,2760998.651,1197991.975,538.3652954,"S 1.3_C4",0.001,62.5,62.5,62.5,37.5,37.5,3,0.55,0,0,0.625,0.625,0.625,0.375,0.375,0.03,0.0055,0,0,0.703733727810651,0.713857142857143,0.713857142857143,0.425106958021852,0.428714285714286,0.0352171428571429,0.00727314285714286,0.001,0.001
"39","R5","removal",8,3,13,3,6,6,5,3,0,0,"no","roadside_riverside",2021,"solidago","S 1.3","10.06.2021 00:00","Untervaz",9.5535824,46.914814,2760998.651,1197991.975,538.3652954,"S 1.3_R5",0.001,87.5,3,3,37.5,37.5,17.5,3,0,0,0.875,0.03,0.03,0.375,0.375,0.175,0.03,0,0,0.999,0.0352171428571429,0.0352171428571429,0.425106958021852,0.428714285714286,0.2006,0.0352171428571429,0.001,0.001
"40","C5","control",8,6,32,6,4,8,2,2,0,2,"no","roadside_riverside",2021,"solidago","S 1.3","10.06.2021 00:00","Untervaz",9.5535824,46.914814,2760998.651,1197991.975,538.3652954,"S 1.3_C5",0.001,87.5,37.5,37.5,7.5,87.5,0.55,0.55,0,0.55,0.875,0.375,0.375,0.075,0.875,0.0055,0.0055,0,0.0055,0.999,0.428714285714286,0.428714285714286,0.0807711328349626,0.999,0.00727314285714286,0.00727314285714286,0.001,0.0323657142857143
"41","R1","removal",7,6,45,6,6,6,2,3,0,NA,"no","roadside_parking",2021,"solidago","S 3.1","14.06.2021 00:00","Thusis",9.4283025,46.711296,2752033.357,1175127.58,794.2953491,"S 3.1_R1",0.158716350810284,62.5,37.5,37.5,37.5,37.5,0.55,3,0,NA,0.625,0.375,0.375,0.375,0.375,0.0055,0.03,0,NA,0.703733727810651,0.428714285714286,0.428714285714286,0.425106958021852,0.428714285714286,0.00727314285714286,0.0352171428571429,0.001,NA
"42","C1","control",8,7,30,7,6,7,5,0,0,NA,"no","roadside_parking",2021,"solidago","S 3.1","14.06.2021 00:00","Thusis",9.4283025,46.711296,2752033.357,1175127.58,794.2953491,"S 3.1_C1",0.158716350810284,87.5,62.5,62.5,37.5,62.5,17.5,0,0,NA,0.875,0.625,0.625,0.375,0.625,0.175,0,0,NA,0.999,0.713857142857143,0.713857142857143,0.425106958021852,0.713857142857143,0.2006,0.001,0.001,NA
"43","R2","removal",8,2,2,2,5,8,4,2,0,NA,"no","roadside_parking",2021,"solidago","S 3.1","14.06.2021 00:00","Thusis",9.4283025,46.711296,2752033.357,1175127.58,794.2953491,"S 3.1_R2",0.158716350810284,87.5,0.55,0.55,17.5,87.5,7.5,0.55,0,NA,0.875,0.0055,0.0055,0.175,0.875,0.075,0.0055,0,NA,0.999,0.00727314285714286,0.00727314285714286,0.195549741230592,0.999,0.0865428571428571,0.00727314285714286,0.001,NA
"44","C2","control",7,7,36,7,7,4,2,2,0,NA,"no","roadside_parking",2021,"solidago","S 3.1","14.06.2021 00:00","Thusis",9.4283025,46.711296,2752033.357,1175127.58,794.2953491,"S 3.1_C2",0.158716350810284,62.5,62.5,62.5,62.5,7.5,0.55,0.55,0,NA,0.625,0.625,0.625,0.625,0.075,0.0055,0.0055,0,NA,0.703733727810651,0.713857142857143,0.713857142857143,0.712053479010926,0.0865428571428571,0.00727314285714286,0.00727314285714286,0.001,NA
"45","R3","removal",8,5,7,5,7,6,2,2,0,NA,"no","roadside_parking",2021,"solidago","S 3.1","14.06.2021 00:00","Thusis",9.4283025,46.711296,2752033.357,1175127.58,794.2953491,"S 3.1_R3",0.158716350810284,87.5,17.5,17.5,62.5,37.5,0.55,0.55,0,NA,0.875,0.175,0.175,0.625,0.375,0.0055,0.0055,0,NA,0.999,0.2006,0.2006,0.712053479010926,0.428714285714286,0.00727314285714286,0.00727314285714286,0.001,NA
"46","C3","control",6,6,47,6,6,4,0,5,2,NA,"no","roadside_parking",2021,"solidago","S 3.1","14.06.2021 00:00","Thusis",9.4283025,46.711296,2752033.357,1175127.58,794.2953491,"S 3.1_C3",0.158716350810284,37.5,37.5,37.5,37.5,7.5,0,17.5,0.55,NA,0.375,0.375,0.375,0.375,0.075,0,0.175,0.0055,NA,0.408467455621302,0.428714285714286,0.428714285714286,0.425106958021852,0.0865428571428571,0.001,0.2006,0.0156373333333333,NA
"47","R4","removal",7,6,19,6,7,4,0,1,3,NA,"no","roadside_parking",2021,"solidago","S 3.1","14.06.2021 00:00","Thusis",9.4283025,46.711296,2752033.357,1175127.58,794.2953491,"S 3.1_R4",0.158716350810284,62.5,37.5,37.5,62.5,7.5,0,0.05,3,NA,0.625,0.375,0.375,0.625,0.075,0,5e-04,0.03,NA,0.703733727810651,0.428714285714286,0.428714285714286,0.712053479010926,0.0865428571428571,0.001,0.00157028571428571,0.08084,NA
"48","C4","control",8,4,6,4,7,6,0,1,3,NA,"no","roadside_parking",2021,"solidago","S 3.1","14.06.2021 00:00","Thusis",9.4283025,46.711296,2752033.357,1175127.58,794.2953491,"S 3.1_C4",0.158716350810284,87.5,7.5,7.5,62.5,37.5,0,0.05,3,NA,0.875,0.075,0.075,0.625,0.375,0,5e-04,0.03,NA,0.999,0.0865428571428571,0.0865428571428571,0.712053479010926,0.428714285714286,0.001,0.00157028571428571,0.08084,NA
"49","R1","removal",8,3,6,3,6,7,2,3,1,NA,"no","gravelpit",2021,"solidago","S 4.1","14.06.2021 00:00","Scharans",9.467283,46.714629,2755003.094,1175574.253,820.762207,"S 4.1_R1",0.175026495652809,87.5,3,3,37.5,62.5,0.55,3,0.05,NA,0.875,0.03,0.03,0.375,0.625,0.0055,0.03,5e-04,NA,0.999,0.0352171428571429,0.0352171428571429,0.425106958021852,0.713857142857143,0.00727314285714286,0.0352171428571429,0.00233066666666667,NA
"50","C1","control",8,5,72,5,4,7,3,3,0,NA,"no","gravelpit",2021,"solidago","S 4.1","14.06.2021 00:00","Scharans",9.467283,46.714629,2755003.094,1175574.253,820.762207,"S 4.1_C1",0.175026495652809,87.5,17.5,17.5,7.5,62.5,3,3,0,NA,0.875,0.175,0.175,0.075,0.625,0.03,0.03,0,NA,0.999,0.2006,0.2006,0.0807711328349626,0.713857142857143,0.0352171428571429,0.0352171428571429,0.001,NA
"51","R2","removal",8,4,20,4,6,6,3,4,1,NA,"no","gravelpit",2021,"solidago","S 4.1","14.06.2021 00:00","Scharans",9.467283,46.714629,2755003.094,1175574.253,820.762207,"S 4.1_R2",0.175026495652809,87.5,7.5,7.5,37.5,37.5,3,7.5,0.05,NA,0.875,0.075,0.075,0.375,0.375,0.03,0.075,5e-04,NA,0.999,0.0865428571428571,0.0865428571428571,0.425106958021852,0.428714285714286,0.0352171428571429,0.0865428571428571,0.00233066666666667,NA
"52","C2","control",7,5,18,4,6,5,5,4,3,NA,"no","gravelpit",2021,"solidago","S 4.1","14.06.2021 00:00","Scharans",9.467283,46.714629,2755003.094,1175574.253,820.762207,"S 4.1_C2",0.175026495652809,62.5,17.5,7.5,37.5,17.5,17.5,7.5,3,NA,0.625,0.175,0.075,0.375,0.175,0.175,0.075,0.03,NA,0.703733727810651,0.2006,0.0865428571428571,0.425106958021852,0.2006,0.2006,0.0865428571428571,0.08084,NA
"53","R3","removal",7,5,24,5,7,4,2,4,2,NA,"no","gravelpit",2021,"solidago","S 4.1","14.06.2021 00:00","Scharans",9.467283,46.714629,2755003.094,1175574.253,820.762207,"S 4.1_R3",0.175026495652809,62.5,17.5,17.5,62.5,7.5,0.55,7.5,0.55,NA,0.625,0.175,0.175,0.625,0.075,0.0055,0.075,0.0055,NA,0.703733727810651,0.2006,0.2006,0.712053479010926,0.0865428571428571,0.00727314285714286,0.0865428571428571,0.0156373333333333,NA
"54","C3","control",6,7,74,7,6,3,0,3,0,NA,"no","gravelpit",2021,"solidago","S 4.1","14.06.2021 00:00","Scharans",9.467283,46.714629,2755003.094,1175574.253,820.762207,"S 4.1_C3",0.175026495652809,37.5,62.5,62.5,37.5,3,0,3,0,NA,0.375,0.625,0.625,0.375,0.03,0,0.03,0,NA,0.408467455621302,0.713857142857143,0.713857142857143,0.425106958021852,0.0352171428571429,0.001,0.0352171428571429,0.001,NA
