plot_name;treatment;natives;non_natives;number_focal_sp;cover_focal_sp;forbs;graminoids;legumes;bare_ground;non_focal_inv1;non_focal_inv2;background_management;site_type;year;species;site_name;datum;municipality;longitude;latitude;northing;easting;elevation;plotID
R2;removal;8;4;24;4;7;6;3;3;0;NA;no;roadside_parking;2021;solidago;S 2.2;08.06.2021 00:00;Tamins;9.4089299;46.828028;2750226.823;1188061.383;619.8226318;S 2.2_R2
C2;control;7;6;50;6;6;5;4;3;2;NA;no;roadside_parking;2021;solidago;S 2.2;08.06.2021 00:00;Tamins;9.4089299;46.828028;2750226.823;1188061.383;619.8226318;S 2.2_C2
R1;removal;8;3;5;3;3;6;6;4;0;0;no;roadside;2021;solidago;S 1.2;09.06.2021 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_R1
C1;control;8;5;16;5;7;6;5;3;0;0;no;roadside;2021;solidago;S 1.2;09.06.2021 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_C1
R2;removal;8;4;10;3;6;8;5;4;3;0;no;roadside;2021;solidago;S 1.2;09.06.2021 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_R2
C2;control;7;7;65;7;5;5;6;3;0;2;no;roadside;2021;solidago;S 1.2;09.06.2021 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_C2
R3;removal;8;3;8;3;4;8;6;2;0;0;no;roadside;2021;solidago;S 1.2;09.06.2021 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_R3
C3;control;8;3;8;3;6;6;7;2;0;2;no;roadside;2021;solidago;S 1.2;09.06.2021 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_C3
R4;removal;8;3;11;3;3;6;7;3;0;0;no;roadside;2021;solidago;S 1.2;09.06.2021 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_R4
C4;control;8;3;7;3;4;7;6;4;0;1;no;roadside;2021;solidago;S 1.2;09.06.2021 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_C4
R5;removal;8;4;14;4;6;7;3;4;2;0;no;roadside;2021;solidago;S 1.2;09.06.2021 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_R5
C5;control;8;3;6;2;5;7;6;4;3;0;no;roadside;2021;solidago;S 1.2;09.06.2021 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_C5
R1;removal;8;3;6;3;5;6;7;1;0;NA;no;roadside;2021;solidago;S 2.3;09.06.2021 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_R1
C1;control;8;3;7;3;6;5;7;3;2;NA;no;roadside;2021;solidago;S 2.3;09.06.2021 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_C1
R2;removal;8;4;20;4;5;5;7;2;1;NA;no;roadside;2021;solidago;S 2.3;09.06.2021 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_R2
C2;control;8;3;4;3;7;6;3;2;0;NA;no;roadside;2021;solidago;S 2.3;09.06.2021 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_C2
R3;removal;8;5;11;5;6;7;5;2;2;NA;no;roadside;2021;solidago;S 2.3;09.06.2021 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_R3
C3;control;8;4;7;4;5;7;3;3;1;NA;no;roadside;2021;solidago;S 2.3;09.06.2021 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_C3
R4;removal;7;6;27;6;5;4;7;2;2;NA;no;roadside;2021;solidago;S 2.3;09.06.2021 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_R4
C4;control;7;7;33;7;6;5;6;2;2;NA;no;roadside;2021;solidago;S 2.3;09.06.2021 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_C4
R1;removal;7;6;27;6;6;6;3;3;3;0;no;roadside_riverside;2021;solidago;S 1.3;10.06.2021 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_R1
C1;control;8;4;19;4;6;7;6;0;0;0;no;roadside_riverside;2021;solidago;S 1.3;10.06.2021 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_C1
R2;removal;6;8;72;8;6;3;5;2;0;0;no;roadside_riverside;2021;solidago;S 1.3;10.06.2021 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_R2
C2;control;8;4;9;4;6;7;3;2;0;0;no;roadside_riverside;2021;solidago;S 1.3;10.06.2021 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_C2
R3;removal;8;5;36;5;6;7;3;3;0;0;no;roadside_riverside;2021;solidago;S 1.3;10.06.2021 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_R3
C3;control;8;6;31;6;7;3;5;3;0;0;no;roadside_riverside;2021;solidago;S 1.3;10.06.2021 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_C3
R4;removal;8;6;21;6;7;5;4;2;0;0;no;roadside_riverside;2021;solidago;S 1.3;10.06.2021 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_R4
C4;control;7;7;44;7;6;6;3;2;0;0;no;roadside_riverside;2021;solidago;S 1.3;10.06.2021 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_C4
R5;removal;8;3;13;3;6;6;5;3;0;0;no;roadside_riverside;2021;solidago;S 1.3;10.06.2021 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_R5
C5;control;8;6;32;6;4;8;2;2;0;2;no;roadside_riverside;2021;solidago;S 1.3;10.06.2021 00:00;Untervaz;9.5535824;46.914814;2760998.651;1197991.975;538.3652954;S 1.3_C5
R1;removal;7;6;45;6;6;6;2;3;0;NA;no;roadside_parking;2021;solidago;S 3.1;14.06.2021 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_R1
C1;control;8;7;30;7;6;7;5;0;0;NA;no;roadside_parking;2021;solidago;S 3.1;14.06.2021 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_C1
R2;removal;8;2;2;2;5;8;4;2;0;NA;no;roadside_parking;2021;solidago;S 3.1;14.06.2021 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_R2
C2;control;7;7;36;7;7;4;2;2;0;NA;no;roadside_parking;2021;solidago;S 3.1;14.06.2021 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_C2
R3;removal;8;5;7;5;7;6;2;2;0;NA;no;roadside_parking;2021;solidago;S 3.1;14.06.2021 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_R3
C3;control;6;6;47;6;6;4;0;5;2;NA;no;roadside_parking;2021;solidago;S 3.1;14.06.2021 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_C3
R4;removal;7;6;19;6;7;4;0;1;3;NA;no;roadside_parking;2021;solidago;S 3.1;14.06.2021 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_R4
C4;control;8;4;6;4;7;6;0;1;3;NA;no;roadside_parking;2021;solidago;S 3.1;14.06.2021 00:00;Thusis;9.4283025;46.711296;2752033.357;1175127.58;794.2953491;S 3.1_C4
R1;removal;8;3;6;3;6;7;2;3;1;NA;no;gravelpit;2021;solidago;S 4.1;14.06.2021 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_R1
C1;control;8;5;72;5;4;7;3;3;0;NA;no;gravelpit;2021;solidago;S 4.1;14.06.2021 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_C1
R2;removal;8;4;20;4;6;6;3;4;1;NA;no;gravelpit;2021;solidago;S 4.1;14.06.2021 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_R2
C2;control;7;5;18;4;6;5;5;4;3;NA;no;gravelpit;2021;solidago;S 4.1;14.06.2021 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_C2
R3;removal;7;5;24;5;7;4;2;4;2;NA;no;gravelpit;2021;solidago;S 4.1;14.06.2021 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_R3
C3;control;6;7;74;7;6;3;0;3;0;NA;no;gravelpit;2021;solidago;S 4.1;14.06.2021 00:00;Scharans;9.467283;46.714629;2755003.094;1175574.253;820.762207;S 4.1_C3
R1;removal;8;4;9;4;3;2;8;3;2;NA;no;gravelpit;2021;solidago;S 3.2;15.06.2021 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_R1
C1;control;7;7;59;7;2;2;7;3;2;NA;no;gravelpit;2021;solidago;S 3.2;15.06.2021 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_C1
R2;removal;8;5;18;5;4;2;8;0;3;NA;no;gravelpit;2021;solidago;S 3.2;15.06.2021 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_R2
C2;control;8;6;36;6;6;2;7;0;2;NA;no;gravelpit;2021;solidago;S 3.2;15.06.2021 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_C2
R3;removal;7;7;58;7;6;1;6;0;2;NA;no;gravelpit;2021;solidago;S 3.2;15.06.2021 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_R3
C3;control;8;6;41;6;5;3;7;0;1;NA;no;gravelpit;2021;solidago;S 3.2;15.06.2021 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_C3
R4;removal;8;6;24;6;4;6;6;1;2;NA;no;gravelpit;2021;solidago;S 3.2;15.06.2021 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_R4
C4;control;8;4;10;4;4;3;8;0;0;NA;no;gravelpit;2021;solidago;S 3.2;15.06.2021 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_C4
R5;removal;6;8;54;7;4;3;6;0;4;NA;no;gravelpit;2021;solidago;S 3.2;15.06.2021 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_R5
C5;control;7;7;39;7;6;2;6;0;3;NA;no;gravelpit;2021;solidago;S 3.2;15.06.2021 00:00;Schluein;9.2293148;46.782702;2736642.815;1182696.048;687.1316528;S 3.2_C5
R1;removal;5;8;50;8;5;3;0;5;NA;NA;no;roadside_railway_gravelpit;2021;solidago;S 3.3;15.06.2021 00:00;Ilanz;9.1723624;46.775492;2732313.032;1181797.147;705.1589355;S 3.3_R1
C1;control;8;5;14;5;7;6;0;2;NA;NA;no;roadside_railway_gravelpit;2021;solidago;S 3.3;15.06.2021 00:00;Ilanz;9.1723624;46.775492;2732313.032;1181797.147;705.1589355;S 3.3_C1
R2;removal;6;7;24;7;6;5;0;4;NA;NA;no;roadside_railway_gravelpit;2021;solidago;S 3.3;15.06.2021 00:00;Ilanz;9.1723624;46.775492;2732313.032;1181797.147;705.1589355;S 3.3_R2
C2;control;8;4;6;4;7;6;2;2;NA;NA;no;roadside_railway_gravelpit;2021;solidago;S 3.3;15.06.2021 00:00;Ilanz;9.1723624;46.775492;2732313.032;1181797.147;705.1589355;S 3.3_C2
R1;removal;8;4;7;4;8;3;2;2;2;NA;no;gravelpit;2021;solidago;S 4.2;16.06.2021 00:00;Trun;9.0024777;46.742227;2719416.345;1177827.705;866.6534424;S 4.2_R1
C1;control;7;6;25;6;7;2;3;5;2;NA;no;gravelpit;2021;solidago;S 4.2;16.06.2021 00:00;Trun;9.0024777;46.742227;2719416.345;1177827.705;866.6534424;S 4.2_C1
R2;removal;7;5;15;5;5;4;5;4;3;NA;no;gravelpit;2021;solidago;S 4.2;16.06.2021 00:00;Trun;9.0024777;46.742227;2719416.345;1177827.705;866.6534424;S 4.2_R2
C2;control;6;6;27;6;5;3;5;6;2;NA;no;gravelpit;2021;solidago;S 4.2;16.06.2021 00:00;Trun;9.0024777;46.742227;2719416.345;1177827.705;866.6534424;S 4.2_C2
R1;removal;6;7;44;7;6;4;3;2;NA;NA;no;riverside;2021;solidago;S 4.3;16.06.2021 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_R1
C1;control;8;5;21;5;7;4;4;0;NA;NA;no;riverside;2021;solidago;S 4.3;16.06.2021 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_C1
R2;removal;7;6;32;6;7;3;0;2;NA;NA;no;riverside;2021;solidago;S 4.3;16.06.2021 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_R2
C2;control;8;3;4;3;6;6;5;2;NA;NA;no;riverside;2021;solidago;S 4.3;16.06.2021 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_C2
R3;removal;7;6;27;6;7;3;3;2;NA;NA;no;riverside;2021;solidago;S 4.3;16.06.2021 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_R3
C3;control;8;5;29;5;8;3;3;2;NA;NA;no;riverside;2021;solidago;S 4.3;16.06.2021 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_C3
R4;removal;7;5;14;5;7;4;2;4;NA;NA;no;riverside;2021;solidago;S 4.3;16.06.2021 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_R4
C4;control;7;6;36;6;7;3;2;1;NA;NA;no;riverside;2021;solidago;S 4.3;16.06.2021 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_C4
R5;removal;8;4;6;4;8;2;0;2;NA;NA;no;riverside;2021;solidago;S 4.3;16.06.2021 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_R5
C5;control;7;7;32;7;7;1;0;0;NA;NA;no;riverside;2021;solidago;S 4.3;16.06.2021 00:00;Trun;8.9881168;46.741063;2718321.768;1177676.576;851.835083;S 4.3_C5
R1;removal;7;4;9;4;2;6;6;5;NA;NA;no;wastedump;2021;solidago;S 5.1;18.06.2021 00:00;Flims;9.3079152;46.834333;2742505.965;1188573.444;981.8417969;S 5.1_R1
C1;control;8;3;5;3;3;7;5;4;NA;NA;no;wastedump;2021;solidago;S 5.1;18.06.2021 00:00;Flims;9.3079152;46.834333;2742505.965;1188573.444;981.8417969;S 5.1_C1
R1;removal;8;6;25;6;8;3;0;0;0;NA;no;riverside;2021;solidago;S 5.2;21.06.2021 00:00;Surrein;8.9568623;46.724027;2715970.59;1175736.622;901.1761475;S 5.2_R1
C1;control;6;7;41;7;6;2;3;0;3;NA;no;riverside;2021;solidago;S 5.2;21.06.2021 00:00;Surrein;8.9568623;46.724027;2715970.59;1175736.622;901.1761475;S 5.2_C1
R2;removal;8;6;24;6;8;3;3;0;0;NA;no;riverside;2021;solidago;S 5.2;21.06.2021 00:00;Surrein;8.9568623;46.724027;2715970.59;1175736.622;901.1761475;S 5.2_R2
C2;control;8;5;25;5;8;0;0;2;0;NA;no;riverside;2021;solidago;S 5.2;21.06.2021 00:00;Surrein;8.9568623;46.724027;2715970.59;1175736.622;901.1761475;S 5.2_C2
R1;removal;8;3;4;3;5;7;6;3;NA;NA;no;forest_road;2021;solidago;S 5.3;21.06.2021 00:00;Surrein;8.9545499;46.722623;2715796.883;1175577.174;912.3480835;S 5.3_R1
C1;control;7;6;21;6;6;6;5;2;NA;NA;no;forest_road;2021;solidago;S 5.3;21.06.2021 00:00;Surrein;8.9545499;46.722623;2715796.883;1175577.174;912.3480835;S 5.3_C1
R1;removal;6;7;49;7;6;4;3;4;NA;NA;no;roadside_wastedump;2021;solidago;S 8.1;23.06.2021 00:00;Medels;8.8547708;46.675341;2708265.956;1170179.958;1249.908936;S 8.1_R1
C1;control;8;4;9;4;7;5;4;2;NA;NA;no;roadside_wastedump;2021;solidago;S 8.1;23.06.2021 00:00;Medels;8.8547708;46.675341;2708265.956;1170179.958;1249.908936;S 8.1_C1
R1;removal;8;3;12;3;6;7;0;2;NA;NA;no;roadside;2021;solidago;S 10.1;24.06.2021 00:00;Fidaz;9.31644;46.849216;2743116.469;1190242.826;1348.98291;S 10.1_R1
R1;removal;5;8;60;8;4;4;2;4;NA;NA;no;wastedump;2021;solidago;S 6.1;05.07.2021 00:00;Disentis;8.8672792;46.705504;2709161.733;1173549.472;1018.146301;S 6.1_R1
C1;control;6;8;73;8;6;2;0;2;NA;NA;no;wastedump;2021;solidago;S 6.1;05.07.2021 00:00;Disentis;8.8672792;46.705504;2709161.733;1173549.472;1018.146301;S 6.1_C1
R2;removal;7;6;13;6;7;5;2;0;NA;NA;no;wastedump;2021;solidago;S 6.1;05.07.2021 00:00;Disentis;8.8672792;46.705504;2709161.733;1173549.472;1018.146301;S 6.1_R2
R1;removal;8;5;16;5;5;6;5;4;NA;NA;no;riverside;2021;solidago;S 8.2;05.07.2021 00:00;Disentis;8.8362759;46.695313;2706811.65;1172374.19;1271.446533;S 8.2_R1
R1;removal;8;3;2;3;5;5;6;4;NA;NA;no;roadside_gravelpit;2021;solidago;S 7.1;28.07.2021 00:00;Andeer;9.4262781;46.579112;2752250.865;1160435.733;1225.389648;S 7.1_R1
C1;control;4;5;7;5;3;3;2;8;NA;NA;no;roadside_gravelpit;2021;solidago;S 7.1;28.07.2021 00:00;Andeer;9.4262781;46.579112;2752250.865;1160435.733;1225.389648;S 7.1_C1
R2;removal;8;3;5;3;5;4;7;3;NA;NA;no;roadside_gravelpit;2021;solidago;S 7.1;28.07.2021 00:00;Andeer;9.4262781;46.579112;2752250.865;1160435.733;1225.389648;S 7.1_R2
C2;control;8;4;4;4;6;5;6;3;NA;NA;no;roadside_gravelpit;2021;solidago;S 7.1;28.07.2021 00:00;Andeer;9.4262781;46.579112;2752250.865;1160435.733;1225.389648;S 7.1_C2
R1;removal;7;5;8;5;7;3;4;5;0;NA;no;Gravelpit;2021;solidago;S 6.2;28.07.2021 00:00;Andeer;9.4267227;46.590665;2752252.388;1161720.328;1070.165771;S 6.2_R1
C1;control;7;4;8;4;5;6;2;6;0;NA;no;Gravelpit;2021;solidago;S 6.2;28.07.2021 00:00;Andeer;9.4267227;46.590665;2752252.388;1161720.328;1070.165771;S 6.2_C1
R2;removal;8;4;7;3;5;7;2;3;3;NA;no;Gravelpit;2021;solidago;S 6.2;28.07.2021 00:00;Andeer;9.4267227;46.590665;2752252.388;1161720.328;1070.165771;S 6.2_R2
R1;removal;7;7;45;7;6;5;0;4;0;NA;no;riverside;2021;solidago;S 7.2;29.07.2021 00:00;Klosters;9.9234081;46.85906;2789351.513;1192623.413;1265.037598;S 7.2_R1
C1;control;6;6;18;5;5;5;2;6;5;NA;no;riverside;2021;solidago;S 7.2;29.07.2021 00:00;Klosters;9.9234081;46.85906;2789351.513;1192623.413;1265.037598;S 7.2_C1
R1;removal;5;3;10;3;5;2;0;8;NA;NA;no;roadside_riverside;2021;solidago;S 6.3;30.07.2021 00:00;Alvaneu;9.6336467;46.673763;2767844.287;1171375.994;1069.260498;S 6.3_R1
C1;control;5;4;6;4;5;1;0;8;NA;NA;no;roadside_riverside;2021;solidago;S 6.3;30.07.2021 00:00;Alvaneu;9.6336467;46.673763;2767844.287;1171375.994;1069.260498;S 6.3_C1
R1;removal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;roadside;2022;solidago;S 2.1;25.05.2022 00:00;Bonaduz;9.3866659;46.812534;2748571.582;1186297.261;668.2623901;S 2.1_R1
C1;control;8;2;3;2;7;6;4;1;0;NA;no;roadside;2022;solidago;S 2.1;25.05.2022 00:00;Bonaduz;9.3866659;46.812534;2748571.582;1186297.261;668.2623901;S 2.1_C1
R2;removal;8;4;12;4;2;7;6;1;0;NA;no;roadside;2022;solidago;S 2.1;25.05.2022 00:00;Bonaduz;9.3866659;46.812534;2748571.582;1186297.261;668.2623901;S 2.1_R2
C2;control;7;6;25;6;4;7;3;4;0;NA;no;roadside;2022;solidago;S 2.1;25.05.2022 00:00;Bonaduz;9.3866659;46.812534;2748571.582;1186297.261;668.2623901;S 2.1_C2
R1;removal;8;2;2;1;5;8;0;2;1;0;no;roadside_parking;2022;solidago;S 1.1;25.05.2022 00:00;Domat-Ems;9.419646;46.828199;2751043.621;1188100.971;616.9345093;S 1.1_R1
C1;control;8;5;7;5;5;8;3;1;0;0;yes;roadside_parking;2022;solidago;S 1.1;25.05.2022 00:00;Domat-Ems;9.419646;46.828199;2751043.621;1188100.971;616.9345093;S 1.1_C1
R2;removal;8;2;1;2;5;8;3;3;0;0;no;roadside_parking;2022;solidago;S 1.1;25.05.2022 00:00;Domat-Ems;9.419646;46.828199;2751043.621;1188100.971;616.9345093;S 1.1_R2
C2;control;8;3;0;0;6;6;6;0;0;3;no;roadside_parking;2022;solidago;S 1.1;25.05.2022 00:00;Domat-Ems;9.419646;46.828199;2751043.621;1188100.971;616.9345093;S 1.1_C2
R1;removal;7;1;0;0;6;5;2;6;1;NA;no;roadside_parking;2022;solidago;S 2.2;26.05.2022 00:00;Tamins;9.4089299;46.828028;2750226.823;1188061.383;619.8226318;S 2.2_R1
C1;control;8;5;44;5;4;7;3;4;0;NA;no;roadside_parking;2022;solidago;S 2.2;26.05.2022 00:00;Tamins;9.4089299;46.828028;2750226.823;1188061.383;619.8226318;S 2.2_C1
R2;removal;8;0;0;0;5;6;6;3;0;NA;no;roadside_parking;2022;solidago;S 2.2;26.05.2022 00:00;Tamins;9.4089299;46.828028;2750226.823;1188061.383;619.8226318;S 2.2_R2
C2;control;7;6;44;6;6;4;6;3;2;NA;no;roadside_parking;2022;solidago;S 2.2;26.05.2022 00:00;Tamins;9.4089299;46.828028;2750226.823;1188061.383;619.8226318;S 2.2_C2
R1;removal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;roadside;2022;solidago;S 1.2;24.05.2022 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_R1
C1;control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;roadside;2022;solidago;S 1.2;24.05.2022 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_C1
R2;removal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;roadside;2022;solidago;S 1.2;24.05.2022 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_R2
C2;control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;roadside;2022;solidago;S 1.2;24.05.2022 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_C2
R3;removal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;roadside;2022;solidago;S 1.2;24.05.2022 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_R3
C3;control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;roadside;2022;solidago;S 1.2;24.05.2022 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_C3
R4;removal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;roadside;2022;solidago;S 1.2;24.05.2022 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_R4
C4;control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;roadside;2022;solidago;S 1.2;24.05.2022 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_C4
R5;removal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;roadside;2022;solidago;S 1.2;24.05.2022 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_R5
C5;control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;roadside;2022;solidago;S 1.2;24.05.2022 00:00;Untervaz;9.5447747;46.921833;2760307.088;1198753.856;588.2043457;S 1.2_C5
R1;removal;8;2;1;2;5;6;7;1;0;NA;no;roadside;2022;solidago;S 2.3;26.05.2022 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_R1
C1;control;8;3;5;3;6;5;7;0;2;NA;no;roadside;2022;solidago;S 2.3;26.05.2022 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_C1
R2;removal;8;3;12;3;4;7;7;2;0;NA;no;roadside;2022;solidago;S 2.3;26.05.2022 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_R2
C2;control;8;3;6;3;6;6;3;0;0;NA;no;roadside;2022;solidago;S 2.3;26.05.2022 00:00;Cazis;9.4253584;46.747648;2751706.014;1179161.245;694.8962402;S 2.3_C2
